Real,Prediccion
3128.22,3348.657109176529
2221.24,1912.3815664529156
1801.26,1342.6441279225755
3676.9,4250.624914772925
4059.84,3990.9491143741943
1886.28,1243.272788180555
3580.64,3782.783564464873
1690.38,1746.0153632260535
14737.4,11210.42456063211
5368.2,5444.872748730957
4361.44,4396.157022337922
3112.0,3617.576793870403
3921.3,4249.308248574131
3329.8,3855.811666400141
5848.48,5732.501928014875
1710.96,1779.7584374228454
2410.17,2230.466774810766
2184.96,2057.9889775248703
7151.04,7694.702185592467
3143.88,3153.491086453865
4977.9,5015.737007663205
3223.78,3122.0165063139193
2717.36,2739.2080505887425
1908.36,2199.791383464968
6558.48,7288.026365411299
3156.58,3257.0928001121556
5182.8,6570.371474034642
2171.58,1928.886473846368
4074.4,4055.0856164016895
3464.16,3599.7029901290534
3286.92,5609.407182589266
3895.68,3941.111592995627
5011.86,5267.249032880525
3550.68,3733.0803608861115
2457.91,2363.320071309112
9127.8,8139.320154997078
2529.68,2376.8736665789493
1245.51,925.1261984761004
1671.36,923.5584317486819
9129.96,8613.985337601342
1918.8,1364.3418989401935
3663.5,4115.742380372785
2908.44,3129.519328000677
3174.22,3254.4558149698714
9762.4,9125.895385598871
3308.8,3788.5618792044224
2724.19,2836.1120456580975
10474.0,9200.23751333096
3090.4,3206.660634096266
3851.04,3892.112466962346
2397.36,2436.996040958049
6106.52,7233.939464550211
2600.01,2637.746186318982
1949.46,1454.2603762362114
2458.92,2517.7038862723875
2254.64,2352.242668324743
5799.6,6876.058778146928
1195.56,664.8772438458309
5805.72,5900.194468214055
2242.6,2028.745890590264
2835.48,2940.7113245040055
3816.36,6233.204487766145
9045.68,8465.28689206336
5088.3,6535.508849219908
2199.33,1852.5031196734108
3116.64,3459.006527074678
5241.36,6672.596894213841
2124.29,1669.7684838899968
4343.85,4670.813585222779
4053.4,4651.652727640703
4076.93,4763.525319538632
1753.2,1877.6596049028885
4365.18,4454.276290318907
8275.28,7707.892011624639
1581.4,801.2730757565405
7118.7,6633.969505587642
8222.04,8191.889102025878
5812.4,5861.818391317021
1010.34,105.27830756701951
3428.16,3649.8048521680284
5454.68,6735.213594792091
3066.56,2975.702033985339
7214.16,7719.47033914456
2679.36,2540.6930482972894
1951.92,1623.1315700474188
7143.9,6667.212812090318
3480.96,3638.032708526631
3457.44,3575.4190036845303
4117.68,4454.7106492601215
8611.72,8008.450538927442
5513.6,5490.422265612571
3654.98,3675.080242534392
2562.88,2598.9397674924676
3730.44,3907.5873945206113
4535.84,4450.891361860888
5267.36,6757.248666844775
3566.08,3597.2038369015227
2632.49,2600.227569606148
5311.93,6612.3459519129265
3446.5,3871.908180315664
4553.2,6142.061512892458
4047.2,4103.497422160868
2746.31,2891.4440669398555
1944.55,1661.3594864757615
5498.68,5662.6895976132055
1935.1,1814.6056109366973
1681.08,1767.5196669407915
